Map_csv,,,,,,,
string (Id),string (name),string (theme ),Texture (Img),string (prefab),int (level),string (conditionId),string (conditionNeedValue)
1001,TheHill,Forest,TheHill,0101_TheHill,1,0,0
1002,Horn,Forest,Horn,0102_Horn,2,0,0
1003,Abyss,Forest,Abyss,0103_Abyss,3,0,0
1004,DownJump,Forest,DownJump,0104_DownJump,4,0,0
1005,WingWild,Forest,WingWild,0105_WingWild,5,0,0
1006,TheMount,Forest,TheMount,0106_TheMount,6,0,0
1007,DirtRoad,Forest,DirtRoad,0107_DirtRoad,7,0,0
1008,GreenWay,Forest,GreenWay,0108_GreenWay,8,0,0
1009,Sticky,Forest,Sticky,0109_Sticky,9,0,0
1010,Vast,Forest,Vast,0110_Vast,10,0,0
1011,RedPalm,Forest,RedPalm,0111_RedPalm,11,0,0
1012,Solo,Forest,Solo,0112_Solo,12,0,0
1013,Scramble,Forest,Scramble,0113_Scramble,13,0,0
1014,HightLord,Forest,HightLord,0114_HightLord,14,0,0
1015,HardRoad,Forest,HardRoad,0115_HardRoad,15,0,0
1016,TwinPit,Desert,TwinPit,0210_TwinPit,21,0,0
1017,Lizard,Desert,Lizard,0211_Lizard,26,0,0
