Suit_csv,,,,,,,,,,,
string (Id),string (name),sprite (Icon),texture (High),texture (Low),string (PrefabId),int (price gold),int (price diamond),int (price honor),string (conditionId),string (conditionNeedValue),string (Mesh Id)
1001,Suit01,Icon_Character01_Suit01,Suit01_H_C_01,Suit01_L_C_01,1001,0,0,0,0,0,1004
1002,Suit02,Icon_Character01_Suit02,Suit01_H_C_02,Suit01_L_C_02,1001,1000,100,0,1001,1001,1001
1003,Suit03,Icon_Character01_Suit03,Suit01_H_C_03,Suit01_L_C_03,1001,2000,200,0,1001,1001,1001
1004,Suit04,Icon_Character01_Suit04,Suit01_H_C_04,Suit01_L_C_04,1001,3000,300,0,1001,1001,1001
1005,Suit05,Icon_Character01_Suit05,Suit01_H_C_05,Suit01_L_C_05,1001,3000,400,0,1001,1001,1001
1006,Suit06,Icon_Character01_Suit06,Suit01_H_C_06,Suit01_L_C_06,1001,3000,500,0,1001,1001,1001
1007,Suit07,Icon_Character01_Suit07,Suit01_H_C_07,Suit01_L_C_07,1001,3000,600,0,1001,1001,1001
1008,Suit08,Icon_Character01_Suit08,Suit01_H_C_08,Suit01_L_C_08,1001,3000,700,0,1001,1002,1001
1009,Suit09,Icon_Character01_Suit09,Suit01_H_C_09,Suit01_L_C_09,1001,3000,800,0,1001,1002,1001
1010,Suit10,Icon_Character01_Suit10,Suit01_H_C_10,Suit01_L_C_10,1001,3000,900,0,1001,1002,1001
1011,Suit11,Icon_Character01_Suit11,Suit01_H_C_11,Suit01_L_C_11,1001,3000,1000,0,1001,1002,1001
1012,Suit12,Icon_Character01_Suit12,Suit01_H_C_12,Suit01_L_C_12,1001,3000,1100,0,1001,1002,1001
1013,Suit13,Icon_Character01_Suit13,Suit01_H_C_13,Suit01_L_C_13,1001,3000,1200,0,1001,1002,1001
1014,Suit14,Icon_Character01_Suit14,Suit01_H_C_14,Suit01_L_C_14,1001,3000,1300,0,1001,1002,1001
1015,Suit15,Icon_Character01_Suit15,Suit01_H_C_15,Suit01_L_C_15,1001,3000,1400,0,1001,1002,1001
